,class Names,truncatation,occlusion,alpha,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rotation_y
12297,Pedestrian,0.00,0,-0.28,556.31,171.18,564.64,197.63,1.72,0.74,0.56,-3.27,1.62,47.42,"-0.35
"
12334,Pedestrian,0.00,1,-1.71,702.81,167.68,716.48,206.27,1.82,0.69,0.68,4.71,1.58,34.42,"-1.57
"
12379,Pedestrian,0.00,1,2.83,605.29,175.81,627.76,235.71,1.73,0.84,0.86,0.28,1.57,21.35,"2.84
"
12380,Pedestrian,0.00,0,2.77,620.38,170.26,644.06,238.88,1.81,0.90,0.95,0.75,1.51,19.56,"2.80
"
12381,Pedestrian,0.52,0,-2.79,0.00,187.90,66.79,332.03,1.75,0.87,1.06,-7.63,1.84,9.13,"2.80
"
12382,Pedestrian,0.11,0,2.12,93.37,172.50,200.40,373.00,1.82,0.87,0.91,-3.99,1.75,6.25,"1.57
"
12383,Pedestrian,0.00,0,2.90,832.90,154.08,908.76,336.87,1.78,0.89,1.06,2.70,1.52,7.49,"-3.06
"
12384,Pedestrian,0.12,0,-2.85,1037.02,138.05,1163.93,373.00,1.79,0.80,1.02,3.61,1.50,5.47,"-2.29
"
12385,Pedestrian,0.00,0,1.70,533.13,171.85,561.34,244.24,1.79,0.89,1.04,-1.41,1.56,18.37,"1.62
"
12390,Pedestrian,0.00,0,2.66,890.30,153.00,963.97,294.40,1.75,0.43,0.99,4.07,1.41,9.02,"3.07
"
12402,Pedestrian,0.00,0,-1.77,363.46,169.83,384.12,228.65,1.88,0.67,1.18,-7.76,1.80,23.81,"-2.08
"
12421,Pedestrian,0.00,1,-0.77,1086.84,156.24,1181.62,319.12,1.67,0.51,1.29,5.70,1.42,7.64,"-0.14
"
12436,Pedestrian,0.00,0,-1.62,181.49,148.94,198.81,196.38,1.99,0.73,0.53,-17.53,0.66,30.08,"-2.14
"
12437,Pedestrian,0.00,0,2.18,83.16,148.10,125.36,241.30,1.88,0.71,1.28,-10.58,1.22,14.95,"1.57
"
12438,Pedestrian,0.00,0,1.99,234.25,154.71,257.33,212.28,1.91,0.66,0.99,-12.20,1.06,24.11,"1.53
"
12439,Pedestrian,0.00,0,1.92,201.81,151.39,225.22,209.79,1.93,0.73,0.96,-13.15,0.96,23.91,"1.42
"
12440,Pedestrian,0.00,0,0.59,667.44,153.00,721.47,305.64,1.89,0.87,1.09,1.16,1.55,9.43,"0.72
"
12441,Pedestrian,0.00,1,0.65,706.85,150.56,772.98,294.79,1.89,0.88,1.00,1.88,1.49,9.91,"0.84
"
12442,Pedestrian,0.00,2,0.47,758.68,142.72,879.84,310.59,1.89,0.88,1.13,2.58,1.46,8.66,"0.75
"
12443,Pedestrian,0.58,0,0.11,1108.93,142.20,1223.00,369.00,1.84,0.78,1.12,4.43,1.57,5.19,"0.79
"
12444,Pedestrian,0.00,1,0.47,772.82,146.60,851.05,332.95,1.84,0.79,1.03,2.30,1.51,7.63,"0.76
"
12448,Pedestrian,0.00,0,-1.88,830.17,157.42,853.84,227.43,1.60,0.51,0.43,5.36,1.25,16.75,"-1.57
"
12475,Pedestrian,0.00,1,1.58,879.70,157.05,955.08,314.70,1.75,0.94,0.50,3.46,1.58,8.39,"1.95
"
12476,Pedestrian,0.00,0,1.61,782.05,176.77,840.42,296.33,1.54,0.73,0.51,2.59,1.59,9.62,"1.87
"
12488,Pedestrian,0.00,0,2.80,808.58,173.35,841.54,289.93,1.63,0.41,0.33,3.01,1.64,10.34,"3.07
"
12506,Pedestrian,0.00,0,-1.17,287.37,168.08,350.48,316.48,1.78,0.74,1.07,-3.69,1.62,9.16,"-1.55
"
12507,Pedestrian,0.00,1,-1.86,831.95,153.23,867.07,235.60,1.73,0.79,0.90,5.13,1.14,15.60,"-1.55
"
12555,Pedestrian,0.00,0,1.58,568.66,153.91,636.66,352.52,1.76,0.63,0.92,-0.07,1.53,6.76,"1.57
"
12631,Pedestrian,0.00,0,0.21,417.50,159.69,460.76,302.28,1.72,0.59,1.20,-2.09,1.47,8.91,"-0.02
"
12640,Pedestrian,0.00,0,-3.11,520.41,158.20,594.55,303.63,1.73,0.50,1.12,-0.60,1.47,8.75,"3.11
"
12654,Pedestrian,0.00,0,-1.80,825.55,166.04,886.75,284.96,1.65,0.88,0.49,3.46,1.44,10.24,"-1.49
"
12655,Pedestrian,0.00,1,2.19,245.34,188.06,288.07,299.36,1.65,0.66,0.80,-5.26,1.76,11.16,"1.75
"
12656,Pedestrian,0.00,1,1.81,455.56,177.10,478.63,249.53,1.77,0.67,0.91,-3.62,1.66,18.05,"1.61
"
12657,Pedestrian,0.00,0,-1.37,489.74,181.43,505.08,233.77,1.66,0.65,0.72,-3.54,1.66,23.23,"-1.52
"
12658,Pedestrian,0.00,0,-1.39,590.17,177.55,605.90,218.27,1.77,0.94,0.93,-0.39,1.60,31.76,"-1.41
"
12686,Pedestrian,0.00,0,-1.44,361.15,171.65,386.15,237.53,1.88,0.67,1.18,-7.04,1.86,21.34,"-1.75
"
12697,Pedestrian,0.00,0,-1.28,354.33,174.51,385.66,242.70,1.88,0.67,1.18,-6.94,1.94,20.61,"-1.60
"
12715,Pedestrian,0.00,0,2.93,716.37,139.33,784.37,302.03,1.94,0.76,1.23,1.82,1.45,8.90,"3.12
"
12817,Pedestrian,0.00,1,-0.55,1025.85,150.25,1101.57,293.34,1.76,0.59,1.10,5.83,1.39,9.04,"0.00
"
12829,Pedestrian,0.00,1,2.84,819.74,153.66,846.41,250.85,1.77,0.57,0.42,4.09,1.42,13.45,"3.13
"
12835,Pedestrian,0.00,0,-1.85,431.01,171.08,450.34,225.25,1.88,0.67,1.18,-6.13,1.83,25.80,"-2.08
"
12863,Pedestrian,0.11,0,2.89,754.36,180.53,846.69,373.00,1.59,0.74,1.00,1.46,1.59,5.70,"3.13
"
12941,Pedestrian,0.00,0,2.94,733.18,154.78,798.32,297.94,1.75,0.46,0.97,2.01,1.44,8.93,"-3.13
"
12973,Pedestrian,0.62,0,-2.31,1196.56,154.15,1241.00,296.88,1.69,0.59,0.83,7.73,1.47,8.74,"-1.60
"
12976,Pedestrian,0.00,0,0.75,446.99,177.33,474.03,249.75,1.57,0.52,0.62,-3.42,1.67,16.04,"0.54
"
12977,Pedestrian,0.53,0,0.79,0.00,147.77,41.06,257.67,1.78,0.84,0.71,-10.26,1.38,12.06,"0.09
"
12978,Pedestrian,0.00,0,0.77,3.40,163.07,66.01,253.73,1.56,0.49,0.73,-10.18,1.40,12.71,"0.10
"
12989,Pedestrian,0.00,1,1.81,766.53,177.16,798.53,254.60,1.75,0.94,0.50,3.85,1.85,16.70,"2.03
"
12990,Pedestrian,0.00,0,1.72,729.34,184.75,749.34,240.47,1.54,0.73,0.51,3.45,1.88,20.31,"1.89
"
13001,Pedestrian,0.00,2,-1.72,720.26,163.51,731.90,207.90,1.82,0.69,0.68,4.60,1.44,29.97,"-1.57
"
13030,Pedestrian,0.00,0,-2.61,380.23,154.46,416.23,236.74,1.86,0.55,1.16,-4.63,1.28,16.42,"-2.87
"
13031,Pedestrian,0.00,1,-2.64,399.97,156.01,435.97,234.87,1.84,0.56,1.23,-4.45,1.28,16.94,"-2.89
"
13125,Pedestrian,0.00,0,-1.86,951.08,159.70,992.23,270.06,1.65,0.50,0.50,5.44,1.46,11.06,"-1.42
"
13169,Pedestrian,0.00,0,0.25,396.38,141.10,439.12,303.88,1.93,0.52,1.17,-2.38,1.46,8.69,"-0.01
"
13200,Pedestrian,0.94,3,-2.33,1182.57,195.60,1241.00,374.00,1.54,0.77,0.63,2.81,1.63,2.77,"-1.59
"
13220,Pedestrian,0.00,0,-1.67,445.00,176.69,484.99,287.61,1.53,0.61,0.73,-2.19,1.60,10.45,"-1.87
"
13221,Pedestrian,0.00,0,-1.54,406.92,171.75,446.93,291.43,1.61,0.54,0.87,-2.65,1.60,10.19,"-1.79
"
13222,Pedestrian,0.00,0,1.15,708.74,161.93,742.02,242.47,1.89,0.61,0.92,2.71,1.64,17.44,"1.30
"
13223,Pedestrian,0.00,0,1.05,748.09,160.14,777.69,242.81,1.91,0.69,0.77,3.49,1.62,17.18,"1.25
"
13225,Pedestrian,0.00,0,0.27,374.36,168.98,405.37,245.35,1.60,0.30,0.72,-4.72,1.53,15.38,"-0.02
"
13229,Pedestrian,0.00,0,1.58,545.06,148.42,602.01,306.65,1.87,0.80,0.99,-0.43,1.50,8.92,"1.53
"
13230,Pedestrian,0.00,0,1.02,27.60,156.67,93.60,307.30,1.78,0.84,0.49,-6.81,1.50,8.85,"0.39
"
13232,Pedestrian,0.00,0,-2.68,521.63,158.43,556.25,234.33,1.86,0.55,1.16,-1.46,1.33,17.82,"-2.76
"
13233,Pedestrian,0.00,1,-2.67,538.51,159.51,566.67,232.57,1.84,0.56,1.23,-1.21,1.32,18.33,"-2.74
"
13249,Pedestrian,0.00,0,1.09,962.13,157.84,1031.43,289.17,1.76,0.59,0.83,5.41,1.57,10.12,"1.57
"
13250,Pedestrian,0.00,0,1.01,1039.31,160.55,1085.51,287.94,1.66,0.51,0.60,6.07,1.51,9.75,"1.55
"
13264,Pedestrian,0.00,2,-1.90,845.48,153.96,888.33,268.89,1.82,0.69,0.68,4.08,1.52,11.78,"-1.57
"
13313,Pedestrian,0.00,0,-2.79,367.39,154.06,442.39,310.59,1.78,0.53,1.01,-2.42,1.48,8.31,"-3.07
"
13366,Pedestrian,0.00,1,2.56,1040.00,138.90,1110.07,308.02,1.82,0.94,1.09,5.32,1.37,8.27,"3.11
"
13367,Pedestrian,0.00,0,2.74,784.50,166.83,865.79,323.82,1.64,0.80,0.99,2.33,1.49,8.02,"3.01
"
13368,Pedestrian,0.09,0,-0.05,472.43,192.58,569.25,373.00,1.48,0.92,0.92,-0.78,1.59,5.99,"-0.18
"
13418,Pedestrian,0.00,0,-3.05,350.94,161.31,369.35,203.89,1.86,0.57,1.08,-11.02,1.36,32.04,"2.91
"
13553,Pedestrian,0.00,1,1.40,489.76,172.59,503.10,216.83,1.96,0.69,0.50,-4.81,1.61,31.72,"1.26
"
13554,Pedestrian,0.00,1,-1.99,505.44,172.81,518.10,210.77,1.65,0.58,0.80,-4.08,1.32,31.33,"-2.12
"
13556,Pedestrian,0.00,1,-0.01,845.06,177.16,861.06,216.40,1.77,0.73,0.70,11.36,1.62,32.38,"0.32
"
13557,Pedestrian,0.00,1,3.02,873.88,184.61,889.88,224.43,1.76,0.77,0.87,12.39,1.96,31.92,"-2.89
"
13603,Pedestrian,0.00,0,0.57,674.21,163.77,689.21,207.20,1.90,0.42,1.04,3.08,1.51,32.05,"0.67
"
13604,Pedestrian,0.00,1,0.70,678.72,166.24,692.72,208.09,1.87,0.50,0.90,3.50,1.58,32.70,"0.81
"
13606,Pedestrian,0.00,0,-0.06,615.66,170.69,626.66,197.04,1.78,0.53,0.95,0.75,1.64,49.39,"-0.05
"
13648,Pedestrian,0.00,0,0.50,147.30,143.25,240.46,310.38,1.91,0.64,1.26,-4.98,1.49,8.46,"-0.01
"
13649,Pedestrian,0.00,0,1.22,670.97,130.30,726.75,329.12,1.95,0.63,0.74,0.97,1.46,7.37,"1.35
"
13650,Pedestrian,0.00,0,1.17,735.84,150.23,804.20,322.43,1.71,0.60,0.52,1.67,1.41,7.34,"1.39
"
13651,Pedestrian,0.00,0,0.79,860.29,152.58,917.61,286.30,1.59,0.46,0.67,3.59,1.26,8.81,"1.17
"
13656,Pedestrian,0.00,0,-1.10,233.71,166.37,313.25,351.81,1.78,0.74,1.07,-3.48,1.64,7.43,"-1.53
"
13657,Pedestrian,0.00,0,-1.91,879.29,149.32,911.94,243.35,1.73,0.79,0.90,5.37,1.14,13.72,"-1.54
"
13694,Pedestrian,0.00,0,1.25,788.28,165.95,825.12,245.80,1.69,0.69,0.83,4.18,1.55,15.74,"1.51
"
13704,Pedestrian,0.00,0,2.15,84.76,153.28,146.77,304.12,1.87,0.72,0.50,-6.44,1.64,9.25,"1.55
"
13706,Pedestrian,0.00,0,2.94,739.50,160.05,760.06,232.58,1.84,0.72,0.50,3.57,1.52,18.72,"3.12
"
13707,Pedestrian,0.00,0,-0.68,888.69,164.26,926.03,241.86,1.71,0.57,0.51,6.67,1.53,16.28,"-0.30
"
13712,Pedestrian,0.00,0,-0.38,874.89,152.55,938.10,296.32,1.76,0.59,1.10,3.77,1.42,8.99,"0.00
"
13714,Pedestrian,0.00,0,-1.44,568.20,154.96,612.83,291.48,1.74,0.55,0.58,-0.18,1.42,9.32,"-1.46
"
13727,Pedestrian,0.00,0,-0.44,592.79,173.22,599.12,193.02,1.72,0.74,0.56,-1.30,1.76,63.24,"-0.46
"
13734,Pedestrian,0.12,0,2.56,963.74,127.90,1075.98,374.00,1.84,0.72,0.50,2.77,1.55,5.14,"3.03
"
13740,Pedestrian,0.00,0,-2.47,149.82,172.70,175.66,252.85,1.68,0.52,0.51,-9.57,1.69,15.45,"-3.02
"
13741,Pedestrian,0.00,2,1.23,976.67,140.43,1079.16,346.86,1.87,0.58,0.80,3.96,1.58,6.95,"1.73
"
13742,Pedestrian,0.00,0,1.05,882.26,203.65,935.32,315.92,1.18,0.36,0.61,3.22,1.53,8.03,"1.42
"
13743,Pedestrian,0.00,0,1.21,912.20,202.94,953.43,314.93,1.18,0.38,0.65,3.58,1.53,8.06,"1.62
"
13786,Pedestrian,0.00,0,-0.42,905.60,139.99,980.12,303.12,1.89,0.48,1.20,4.02,1.43,8.49,"0.01
"
13799,Pedestrian,0.00,0,-2.95,670.91,157.44,717.68,256.89,1.73,0.64,1.04,1.60,1.34,12.79,"-2.83
"
13802,Pedestrian,0.00,1,2.60,1032.05,138.15,1072.56,268.30,1.79,0.65,0.59,6.36,1.21,10.11,"-3.13
"
13803,Pedestrian,0.00,1,2.06,1053.65,127.08,1116.45,286.66,1.89,0.61,0.72,5.97,1.26,8.82,"2.64
"
13804,Pedestrian,0.00,2,2.26,1040.72,149.15,1073.82,273.50,1.63,0.40,0.60,6.24,1.22,9.56,"2.82
"
13847,Pedestrian,0.00,2,1.30,858.63,154.45,893.76,248.41,1.96,0.72,1.09,5.76,1.58,15.60,"1.65
"
13863,Pedestrian,0.00,0,0.65,54.75,181.45,107.18,313.37,1.55,0.52,0.50,-6.50,1.66,8.78,"0.03
"
13864,Pedestrian,0.00,0,1.88,382.90,165.60,405.50,236.40,1.87,0.72,0.50,-5.92,1.69,19.42,"1.59
"
13882,Pedestrian,0.00,0,-2.72,346.28,177.03,392.31,307.10,1.58,0.66,0.53,-3.12,1.64,9.14,"-3.05
"
13883,Pedestrian,0.00,0,0.68,302.88,165.20,352.02,301.50,1.70,0.61,0.51,-3.74,1.61,9.35,"0.31
"
13884,Pedestrian,0.00,0,0.44,712.82,169.11,743.48,265.76,1.75,0.63,0.51,2.10,1.68,13.45,"0.59
"
13886,Pedestrian,0.00,0,-2.08,542.79,179.55,563.20,214.67,1.53,0.61,0.73,-2.57,1.84,32.09,"-2.16
"
13887,Pedestrian,0.00,0,-2.04,530.83,177.18,551.09,214.24,1.61,0.54,0.87,-3.08,1.80,31.85,"-2.13
"
13932,Pedestrian,0.00,0,-1.63,424.44,177.80,470.07,301.87,1.53,0.61,0.73,-2.21,1.60,9.39,"-1.86
"
13933,Pedestrian,0.00,0,-1.48,379.50,170.92,427.97,304.45,1.61,0.54,0.87,-2.70,1.59,9.18,"-1.76
"
13934,Pedestrian,0.00,0,1.14,720.23,160.01,756.78,248.28,1.89,0.61,0.92,2.76,1.62,15.95,"1.30
"
13935,Pedestrian,0.00,0,1.04,760.84,157.34,791.51,248.03,1.91,0.69,0.77,3.54,1.59,15.69,"1.25
"
13937,Pedestrian,0.00,0,0.30,351.30,169.04,383.77,252.46,1.60,0.30,0.72,-4.73,1.54,14.09,"-0.02
"
13985,Pedestrian,0.00,0,2.72,942.37,154.33,1003.73,290.62,1.73,0.50,1.12,4.86,1.41,9.29,"-3.10
"
13994,Pedestrian,0.00,2,1.11,858.89,156.91,901.95,255.28,1.69,0.80,0.88,4.72,1.42,12.90,"1.46
"
14029,Pedestrian,0.00,0,0.40,238.66,151.29,301.66,309.14,1.82,0.63,1.14,-4.04,1.48,8.52,"-0.02
"
14055,Pedestrian,0.00,2,1.21,425.07,181.46,450.95,243.92,1.62,0.89,0.52,-4.70,1.85,19.26,"0.97
"
14098,Pedestrian,0.04,0,2.25,299.82,192.55,382.16,373.00,1.51,1.01,0.97,-2.48,1.62,6.45,"1.89
"
14099,Pedestrian,0.00,0,-1.28,925.73,170.23,975.73,286.11,1.59,0.66,0.65,4.85,1.43,10.31,"-0.85
"
14100,Pedestrian,0.00,2,0.51,292.60,174.39,331.91,319.39,1.66,0.65,0.72,-3.53,1.58,8.58,"0.12
"
14101,Pedestrian,0.00,0,1.65,450.93,174.65,497.60,282.02,1.72,0.88,0.90,-2.23,1.61,12.03,"1.47
"
14102,Pedestrian,0.00,2,-1.88,793.18,164.97,820.51,256.19,1.75,0.82,1.14,4.11,1.43,14.39,"-1.61
"
14103,Pedestrian,0.00,0,-1.56,590.74,171.71,609.74,242.02,1.77,0.94,0.93,-0.25,1.53,18.63,"-1.58
"
14104,Pedestrian,0.00,0,2.11,537.37,177.19,556.70,237.19,1.73,0.67,0.83,-1.72,1.61,21.24,"2.02
"
14105,Pedestrian,0.00,0,1.65,561.44,174.64,579.77,229.61,1.82,0.80,0.86,-1.19,1.59,24.26,"1.60
"
14106,Pedestrian,0.00,2,1.44,694.14,170.20,711.48,229.83,1.88,0.78,1.03,3.39,1.52,23.23,"1.58
"
14134,Pedestrian,0.00,0,-1.48,379.01,165.86,406.68,251.92,1.82,0.64,0.58,-4.64,1.49,15.60,"-1.77
"
14135,Pedestrian,0.00,2,1.90,364.53,165.37,397.62,247.05,1.82,0.56,0.51,-5.01,1.46,16.27,"1.60
"
14149,Pedestrian,0.00,2,-1.97,453.10,175.26,490.62,287.31,1.68,0.52,0.55,-2.25,1.72,11.18,"-2.16
"
14213,Pedestrian,0.00,0,1.73,530.68,145.60,595.79,325.67,1.84,0.65,1.14,-0.55,1.48,7.80,"1.67
"
14214,Pedestrian,0.00,0,-3.11,524.51,136.67,607.97,300.46,2.00,0.49,1.25,-0.51,1.47,8.96,"3.12
"
14236,Pedestrian,0.00,0,-1.97,735.87,150.79,779.00,268.10,1.72,0.57,0.99,2.31,1.28,10.92,"-1.77
"
14237,Pedestrian,0.00,0,-2.06,683.16,140.47,735.95,270.69,1.90,0.61,1.11,1.56,1.31,10.93,"-1.92
"
14238,Pedestrian,0.00,1,1.11,745.47,147.09,781.36,250.39,1.79,0.79,0.96,2.92,1.21,12.84,"1.33
"
14240,Pedestrian,0.00,2,1.22,1138.36,135.43,1156.62,181.62,1.96,0.69,0.50,23.24,0.04,30.40,"1.87
"
14241,Pedestrian,0.00,1,-2.27,1159.72,139.38,1178.03,179.88,1.65,0.58,0.80,23.41,-0.03,29.35,"-1.60
"
14242,Pedestrian,0.00,1,3.12,1134.36,139.93,1152.31,184.97,1.84,0.71,0.94,22.30,0.18,29.48,"-2.52
"
14250,Pedestrian,0.00,0,1.34,773.29,160.09,796.42,219.57,1.76,0.59,0.83,5.23,1.39,21.84,"1.57
"
14251,Pedestrian,0.00,0,1.28,800.72,163.43,821.02,220.54,1.66,0.51,0.60,5.90,1.39,21.38,"1.54
"
14293,Pedestrian,0.00,0,-2.02,331.70,157.65,368.04,262.45,1.88,0.69,0.47,-4.68,1.45,13.28,"-2.36
"
14294,Pedestrian,0.12,3,2.21,77.23,154.29,149.23,373.00,1.77,0.67,0.91,-3.83,1.58,5.61,"1.63
"
14295,Pedestrian,0.00,0,2.30,629.10,173.93,658.76,233.98,1.51,1.01,0.97,0.76,1.32,18.79,"2.33
"
14296,Pedestrian,0.00,0,0.29,504.79,169.17,527.45,239.09,1.66,0.65,0.72,-2.23,1.37,17.42,"0.16
"
14297,Pedestrian,0.00,0,1.56,558.83,166.16,580.17,223.58,1.72,0.88,0.90,-1.20,1.26,22.04,"1.50
"
14298,Pedestrian,0.00,2,-1.55,630.78,163.49,645.77,214.45,1.77,0.94,0.93,1.21,1.15,25.52,"-1.51
"
14299,Pedestrian,0.00,1,1.63,617.52,168.52,628.19,205.89,1.73,0.67,0.83,0.94,1.13,33.79,"1.65
"
14308,Pedestrian,0.37,0,-0.94,0.00,164.47,206.76,373.00,1.78,0.74,1.07,-3.39,1.68,4.84,"-1.53
"
14309,Pedestrian,0.00,0,-2.00,951.60,152.83,996.50,271.13,1.73,0.79,0.90,5.47,1.31,11.00,"-1.55
"
14321,Pedestrian,0.00,0,1.81,445.37,178.98,460.08,213.05,1.87,0.96,0.65,-8.81,2.22,40.24,"1.59
"
14328,Pedestrian,0.00,1,0.33,444.38,173.69,460.71,208.88,1.92,0.57,1.32,-8.24,1.55,39.08,"0.12
"
14364,Pedestrian,0.00,0,-1.96,529.83,165.58,545.83,209.40,1.88,0.67,1.18,-3.15,1.58,31.71,"-2.05
"
14389,Pedestrian,0.00,0,0.12,528.01,170.13,534.68,204.19,1.72,0.74,0.56,-4.20,1.59,36.91,"0.01
"
14441,Pedestrian,0.19,0,2.51,1124.57,166.93,1214.66,373.00,1.59,0.74,1.00,4.11,1.49,5.45,"3.13
"
14461,Pedestrian,0.00,0,1.29,791.40,172.04,808.74,230.50,1.74,0.75,0.64,5.73,1.73,21.94,"1.54
"
14473,Pedestrian,0.00,2,-1.59,182.20,149.19,203.16,196.69,1.99,0.73,0.53,-17.52,0.68,30.03,"-2.11
"
14474,Pedestrian,0.00,0,2.03,183.79,152.76,210.13,218.97,1.91,0.66,0.99,-12.10,1.11,21.03,"1.51
"
14475,Pedestrian,0.00,0,2.03,152.17,148.49,179.50,216.08,1.93,0.73,0.96,-12.84,1.01,20.73,"1.48
"
14476,Pedestrian,0.00,0,0.33,910.97,150.13,986.97,356.06,1.89,0.87,1.09,3.57,1.61,7.17,"0.78
"
14477,Pedestrian,0.00,1,0.37,933.99,145.57,1005.66,336.45,1.89,0.88,1.00,4.23,1.54,7.65,"0.86
"
14478,Pedestrian,0.00,1,0.12,1056.76,135.50,1139.10,360.38,1.89,0.88,1.13,4.73,1.51,6.64,"0.72
"
14479,Pedestrian,0.37,0,0.07,1096.76,139.60,1223.00,369.00,1.84,0.79,1.03,4.59,1.54,5.67,"0.72
"
14485,Pedestrian,0.00,0,0.20,464.55,170.33,478.55,220.68,1.72,0.74,0.56,-4.84,1.64,25.09,"0.01
"
14522,Pedestrian,0.00,1,2.87,806.62,156.31,829.96,245.38,1.77,0.57,0.42,4.20,1.45,14.65,"3.14
"
14591,Pedestrian,0.00,0,1.69,383.94,146.12,438.60,307.04,1.87,0.63,0.98,-2.42,1.47,8.75,"1.43
"
14601,Pedestrian,0.00,0,-0.69,448.12,195.12,457.45,219.82,1.75,0.67,0.58,-11.41,3.37,52.10,"-0.90
"
14633,Pedestrian,0.00,0,2.64,938.28,173.34,992.28,374.00,1.63,0.41,0.33,2.96,1.64,6.08,"3.07
"
14645,Pedestrian,0.00,0,2.49,743.92,144.77,810.59,324.07,1.85,0.67,0.80,1.85,1.47,7.75,"2.72
"
14678,Pedestrian,0.00,2,-0.60,996.67,149.87,1040.69,254.85,1.72,0.55,0.93,7.04,1.22,11.96,"-0.08
"
14679,Pedestrian,0.00,1,-0.63,1015.41,153.64,1060.78,257.52,1.62,0.48,0.96,7.09,1.20,11.37,"-0.08
"
14714,Pedestrian,0.00,1,-2.23,597.28,176.83,606.78,209.03,1.68,0.50,0.42,-0.51,1.89,38.00,"-2.25
"
14748,Pedestrian,0.00,0,0.53,198.50,179.79,235.46,278.57,1.55,0.52,0.50,-6.41,1.67,11.64,"0.03
"
14749,Pedestrian,0.00,0,2.18,71.23,170.48,117.37,253.86,1.85,0.70,0.69,-11.78,1.81,16.45,"1.57
"
14751,Pedestrian,0.00,0,1.84,417.20,166.04,436.50,227.55,1.87,0.72,0.50,-5.74,1.67,22.32,"1.59
"
14842,Pedestrian,0.00,0,1.88,710.66,156.68,767.66,305.07,1.74,0.44,0.98,1.71,1.46,8.83,"2.06
"
14862,Pedestrian,0.00,0,-1.22,710.67,178.75,740.67,241.14,1.54,0.84,0.75,2.88,1.70,18.38,"-1.07
"
14874,Pedestrian,0.00,0,-1.97,531.91,175.91,551.67,228.50,1.53,0.61,0.73,-2.16,1.63,21.57,"-2.07
"
14875,Pedestrian,0.00,0,-1.92,509.72,172.40,530.86,228.19,1.61,0.54,0.87,-2.69,1.60,21.31,"-2.04
"
14876,Pedestrian,0.00,0,1.35,629.37,167.63,644.39,208.94,1.89,0.61,0.92,1.17,1.66,33.53,"1.39
"
14877,Pedestrian,0.00,1,1.33,648.69,169.75,662.21,211.71,1.91,0.69,0.77,1.99,1.78,33.44,"1.39
"
14944,Pedestrian,0.31,1,0.35,1008.94,125.40,1219.11,369.00,1.74,0.52,0.83,2.81,1.47,3.99,"0.93
"
14945,Pedestrian,0.43,0,0.17,972.88,143.73,1173.30,369.00,1.63,0.63,0.72,2.21,1.47,3.40,"0.71
"
14946,Pedestrian,0.00,0,0.71,587.63,138.31,681.99,364.93,1.72,0.49,0.93,0.17,1.40,5.85,"0.74
"
14947,Pedestrian,0.07,0,0.65,476.65,124.90,587.38,369.00,1.79,0.65,0.76,-0.47,1.41,5.29,"0.57
"
14948,Pedestrian,0.00,0,-3.03,642.64,153.29,739.53,347.03,1.64,0.56,0.94,0.75,1.42,6.36,"-2.92
"
14949,Pedestrian,0.00,1,1.31,546.46,145.17,573.41,220.48,1.68,0.45,0.75,-1.04,0.89,16.17,"1.25
"
14950,Pedestrian,0.00,2,1.52,527.18,152.13,546.37,222.49,1.95,0.63,0.74,-1.94,1.16,20.08,"1.43
"
14951,Pedestrian,0.00,2,1.48,548.13,142.96,571.62,204.29,1.71,0.60,0.52,-1.31,0.66,20.05,"1.42
"
14952,Pedestrian,0.00,1,1.29,593.77,145.90,614.55,203.36,1.59,0.46,0.67,-0.06,0.63,19.96,"1.29
"
14970,Pedestrian,0.00,2,-1.78,755.59,161.63,774.59,222.87,1.82,0.69,0.68,4.60,1.49,21.81,"-1.57
"
14979,Pedestrian,0.00,0,-2.98,448.70,163.70,542.71,330.30,1.68,0.54,1.10,-1.14,1.51,7.43,"-3.12
"
14980,Pedestrian,0.05,1,-2.02,1117.39,146.51,1204.39,370.29,1.65,0.88,0.49,4.30,1.40,5.60,"-1.39
"
14981,Pedestrian,0.00,0,-2.01,387.44,160.12,417.11,247.74,1.88,0.69,0.47,-4.52,1.42,15.80,"-2.29
"
14982,Pedestrian,0.00,2,2.02,284.28,162.44,338.95,314.05,1.77,0.67,0.91,-3.61,1.55,8.86,"1.64
"
14983,Pedestrian,0.00,0,2.35,652.56,172.45,680.90,224.02,1.51,1.01,0.97,1.79,1.25,21.76,"2.42
"
14984,Pedestrian,0.00,0,-1.20,519.46,167.95,538.80,230.81,1.66,0.65,0.72,-2.15,1.30,19.39,"-1.31
"
14985,Pedestrian,0.00,0,1.78,575.36,165.74,591.02,216.38,1.72,0.88,0.90,-0.97,1.18,24.88,"1.74
"
14986,Pedestrian,0.00,0,-1.48,632.93,165.31,648.26,212.72,1.77,0.94,0.93,1.31,1.17,27.38,"-1.44
"
14987,Pedestrian,0.00,0,1.56,620.87,167.10,631.54,201.15,1.73,0.67,0.83,1.26,1.00,37.04,"1.59
"
14997,Pedestrian,0.00,2,-1.74,728.90,154.69,744.36,203.27,1.96,0.68,0.80,5.13,1.23,29.64,"-1.57
"
14998,Pedestrian,0.00,2,-1.76,745.88,155.07,759.43,203.65,1.94,0.65,0.74,5.76,1.23,29.27,"-1.57
"
15011,Pedestrian,0.00,1,-3.08,586.41,180.34,597.07,211.43,1.63,0.40,0.84,-1.01,2.04,38.31,"-3.10
"
